,bigram,counts
0,"('sentiment', 'analysis')",7
1,"('bitcoin', 'price')",3
6,"('using', 'tweet')",2
9,"('price', 'prediction')",2
8,"('cryptocurrency', 'price')",2
7,"('analysis', 'cryptocurrency')",2
10,"('social', 'medium')",2
5,"('forecasting', 'cryptocurrency')",2
4,"('machine', 'learning')",2
3,"('using', 'machine')",2
2,"('value', 'fluctuation')",2
66,"('bitcoin', 'meet')",1
75,"('era', 'bitcoin')",1
74,"('internet', 'era')",1
73,"('phenomenon', 'internet')",1
72,"('relationship', 'phenomenon')",1
71,"('quantifying', 'relationship')",1
70,"('wikipedia', 'quantifying')",1
69,"('trend', 'wikipedia')",1
68,"('google', 'trend')",1
67,"('meet', 'google')",1
61,"('twitter', 'mood')",1
65,"('market', 'bitcoin')",1
64,"('stock', 'market')",1
63,"('predicts', 'stock')",1
62,"('mood', 'predicts')",1
77,"('encounter', 'information')",1
60,"('analysis', 'twitter')",1
59,"('volume', 'sentiment')",1
58,"('tweet', 'volume')",1
57,"('prediction', 'using')",1
76,"('bitcoin', 'encounter')",1
82,"('text', 'mining')",1
78,"('information', 'online')",1
79,"('online', 'forum')",1
98,"('price', 'return')",1
97,"('directional', 'bitcoin')",1
96,"('forecasting', 'directional')",1
95,"('medium', 'forecasting')",1
94,"('prediction', 'social')",1
93,"('power', 'prediction')",1
92,"('volatility', 'power')",1
91,"('realized', 'volatility')",1
90,"('forecasting', 'realized')",1
89,"('modeling', 'forecasting')",1
88,"('fluctuation', 'modeling')",1
87,"('predict', 'value')",1
86,"('opinion', 'predict')",1
85,"('user', 'opinion')",1
84,"('analyse', 'user')",1
83,"('mining', 'analyse')",1
55,"('bitcoin', 'using')",1
81,"('using', 'text')",1
80,"('forum', 'using')",1
56,"('learning', 'cryptocurrency')",1
50,"('deep', 'reinforcement')",1
54,"('price', 'bitcoin')",1
53,"('predicting', 'price')",1
29,"('price', 'using')",1
28,"('prediction', 'bitcoin')",1
27,"('real-time', 'prediction')",1
26,"('analysis', 'real-time')",1
25,"('coherence', 'analysis')",1
24,"('wavelet', 'coherence')",1
23,"('evidence', 'wavelet')",1
22,"('price', 'evidence')",1
21,"('driver', 'bitcoin')",1
20,"('main', 'driver')",1
19,"('analysis', 'main')",1
18,"('user', 'sentiment')",1
17,"('based', 'user')",1
16,"('system', 'based')",1
15,"('prediction', 'system')",1
14,"('fluctuation', 'prediction')",1
13,"('currency', 'value')",1
12,"('world', 'currency')",1
11,"('virtual', 'world')",1
30,"('learning', 'technique')",1
31,"('technique', 'public')",1
32,"('public', 'sentiment')",1
43,"('forecasting', 'price')",1
52,"('learning', 'predicting')",1
51,"('reinforcement', 'learning')",1
49,"('management', 'deep')",1
48,"('portfolio', 'management')",1
47,"('cryptocurrency', 'portfolio')",1
46,"('tweet', 'sentiment')",1
45,"('cryptocurrencies', 'using')",1
44,"('price', 'cryptocurrencies')",1
42,"('supervision', 'forecasting')",1
33,"('analysis', 'forecasting')",1
41,"('weak', 'supervision')",1
40,"('classifier', 'weak')",1
39,"('bert', 'classifier')",1
38,"('analysis', 'bert')",1
37,"('signal', 'analysis')",1
36,"('sentiment', 'signal')",1
35,"('return', 'sentiment')",1
34,"('cryptocurrency', 'return')",1
99,"('return', 'using')",1
